"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2017-01-01,0.591294480666513,0.377439697358554,0.793421469837506,-1.34640118402761,-2.05092689304263,-0.70684577957728,"w      ","",""
2017-01-02,0.592705881992316,0.382134415221757,0.796654173476837,-1.35257873239508,-1.93825312636932,-0.791695943254888,"w      ","",""
2017-01-03,0.54473663217714,0.299395744138824,0.794194685587298,-2.0684758786427,-3.0229024205298,-1.21144214429216,"w      ","",""
2017-01-04,0.230323994033578,0.0185851885827541,0.43658386096644,-2.2353975158364,-3.79553573449472,-0.967374649127653,"w      ","",""
2017-01-05,0.489350493096173,0.297253883466281,0.68716843711788,-1.44710233232405,-2.34895655781735,-0.682440954904806,"w      ","",""
2017-01-06,0.331248561714047,0.129972156158567,0.529725923825338,-0.759262764451178,-1.47596154773751,-0.206552763391974,"w      ","",""
2017-01-07,0.272853759348241,0.0549600735409771,0.487219577231315,-1.11013324435964,-2.09659370948604,-0.452795762127783,"w      ","",""
2017-01-08,0.481711928968279,0.290554230304953,0.679643726120684,-1.0519921732754,-1.8037211828886,-0.460699693834181,"w      ","",""
2017-01-09,0.572373833038076,0.379203453323917,0.769479798090051,-0.846987589423641,-1.30841110815759,-0.415554658652545,"w      ","",""
2017-01-10,0.628745689927331,0.431944051590055,0.831502938384887,-1.04145652477793,-1.48939643723192,-0.629370823694086,"w      ","",""
2017-01-11,0.347280088085331,0.135711593787119,0.571176218843475,-2.78552278707933,-5.11828722146914,-0.977075975719523,"w      ","",""
2017-01-12,0.314496885270155,0.112702533604701,0.514510379896859,-2.00203382377827,-3.32907942400775,-0.866433008227334,"w      ","",""
2017-01-13,0.464741415295068,0.250999296717995,0.673732810238533,-1.18796171937879,-1.94283836438888,-0.515682430046084,"w      ","",""
2017-01-14,0.792652605699646,0.570494417490132,1.00947868791045,-1.53698879281461,-2.16019215399434,-0.897215093707892,"w      ","",""
2017-01-15,0.639012897409882,0.419931593250537,0.843404824840605,-1.21413320812054,-1.82817824408689,-0.644624351178128,"w      ","",""
2017-01-16,0.562743417535618,0.366090993298789,0.748493526408049,-0.990667098433937,-1.55138849485617,-0.520680614946693,"w      ","",""
2017-01-17,0.830891852982747,0.607346057572158,1.04983734356202,-1.83594623306847,-2.45038675146321,-1.26736623227697,"w      ","",""
2017-01-18,0.447584682719913,0.23827135221589,0.658645402439261,-2.12741226986518,-3.57945271919874,-0.953366935600654,"w      ","",""
2017-01-19,1.1163891193199,0.889921194663065,1.32569188643155,-2.01570623870394,-2.50311192723943,-1.50198886977447,"w      ","",""
2017-01-20,1.04993133170575,0.850139583251954,1.26460229943306,-1.78910701889568,-2.31978626722792,-1.29083785963426,"w      ","",""
2017-01-21,1.3041349243184,1.08220282501445,1.5281102551025,-1.93570214672002,-2.38414430665598,-1.47093197807279,"w      ","",""
2017-01-22,1.70038774658496,1.47609284176111,1.92087832302543,-2.17965179580095,-2.5722170002684,-1.76533320983216,"w      ","",""
2017-01-23,1.43072387975867,1.19166146279865,1.6632684398226,-2.06599393630431,-2.61313664145453,-1.53213158889077,"w      ","",""
2017-01-24,1.26308060958951,1.03007157221227,1.51022401095851,-3.5655356690298,-4.38734942092529,-2.6559041953502,"w      ","",""
2017-01-25,0.546090671886442,0.321338179629815,0.777666021817834,-2.46344409336751,-3.5724477508899,-1.35592247490578,"w      ","",""
2017-01-26,0.855168609151947,0.607827771758022,1.10892582314825,-3.50221790307025,-4.58859399029847,-2.42877321277923,"w      ","",""
2017-01-27,1.11189432115329,0.869107202599375,1.35504631533767,-2.78653754040302,-3.61246881569565,-1.99552699488278,"w      ","",""
2017-01-28,1.31241137685432,1.08906258405467,1.54842200211163,-2.37956634032538,-2.92545348934064,-1.80399465168139,"w      ","",""
2017-01-29,1.33985851858798,1.1040324567634,1.57359659428987,-2.17664279555595,-2.69119756106936,-1.64880864628759,"w      ","",""
2017-01-30,1.43865488926445,1.20331742294759,1.66549360119941,-1.85017048189262,-2.30210250048255,-1.40672290778304,"w      ","",""
2017-01-31,1.11057288379473,0.893735157087999,1.33335804089197,-1.76142230162013,-2.28386626562078,-1.27728765682434,"w      ","",""
2017-02-01,1.39975481736795,1.17268494390497,1.62360424004198,-1.99729704292142,-2.44900460622635,-1.53825580638026,"w      ","",""
2017-02-02,1.37333930133091,1.1398186643126,1.59941535231905,-1.74150826291841,-2.14427843527811,-1.34288516067029,"w      ","",""
2017-02-03,1.47901093628935,1.25026341757452,1.70387351254526,-1.74384713825267,-2.12387165790849,-1.32924006555178,"w      ","",""
2017-02-04,1.17263380548388,0.956084522191095,1.39519030161954,-1.37563120164288,-1.80831159276329,-0.950648585851408,"w      ","",""
2017-02-05,1.68359624093251,1.44568134166866,1.92525437666833,-1.92073538015976,-2.34126290498613,-1.55395516429235,"w      ","",""
2017-02-06,1.63669921245437,1.40390683034934,1.85187292191209,-1.88431985916966,-2.28511781942461,-1.49215517553777,"w      ","",""
2017-02-07,0.922353560708163,0.683711159475574,1.1496852321243,-2.02666237114608,-2.72373939112979,-1.35488109029453,"w      ","",""
2017-02-08,2.21340190496657,1.97240448819487,2.46721329852412,-2.6647619806852,-3.08496304650836,-2.2384602846157,"w      ","",""
2017-02-09,0.475242517138782,0.240341906970964,0.693197746298703,-1.52537494248815,-2.9172365148961,-0.634978237701328,"w      ","",""
2017-02-10,1.50122780299454,1.27493512591501,1.73282082016114,-1.85204969067274,-2.31866746137066,-1.37983881144532,"w      ","",""
