"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2016-12-31,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-01-01,-0.107573917351022,-1.70525333972655,1.52958817368846,-12.2192311031284,-24.0986873785647,-3.02787932277892,"w      ","",""
2017-01-02,0.0521505243140104,-1.78050958908349,2.08750017100541,-13.9957357045728,-26.1671036758862,-5.10699810598056,"w      ","",""
2017-01-03,-0.0763148607811411,-2.00531550276528,1.66777084098835,-12.2483011676101,-25.5835575387649,-4.11702315171571,"w      ","",""
2017-01-04,-0.0249119246272801,-1.85210805579987,1.79010042022079,-10.5465748755586,-19.9653701381914,-2.67534687902457,"w      ","",""
2017-01-05,-0.156860573372939,-2.10097410337432,1.77907259723816,-12.3449133605815,-24.323260809568,-3.50181647386101,"w      ","",""
2017-01-06,-0.0510454074796643,-1.86839799704932,2.17166529385445,-10.8156821091047,-22.1694474944658,-1.61767175701978,"w      ","",""
2017-01-07,-0.0517559142744416,-2.1367581829978,1.75261936722731,-14.2137212200705,-24.5621251414546,-5.51266171885548,"w      ","",""
2017-01-08,-0.312140392134211,-2.11777901951183,1.69871481531036,-12.9316880159897,-24.7064074619208,-3.66373044928951,"w      ","",""
2017-01-09,-0.177105644549367,-2.07168143716449,1.59782570642951,-13.7353262422383,-27.6143707005779,-4.5087514824036,"w      ","",""
2017-01-10,0.284865585201528,-1.70914040363883,2.12518519295655,-13.5817362509292,-26.7957240735105,-5.08030526526155,"w      ","",""
2017-01-11,0.819477833539468,-0.928118444226048,2.80711095329938,-14.0526247111297,-25.5897524790667,-4.16144746761958,"w      ","",""
2017-01-12,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-01-31,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-02-01,1.19940081874608,-0.494644622509883,3.2402500876483,-6.30866975713776,-13.8505365202668,-1.57426833592598,"w      ","",""
2017-02-02,0.851300197928476,-1.1849798684209,2.68480812148183,-5.65884521720432,-13.0369289344151,-0.376646453465654,"w      ","",""
2017-02-03,0.667153461158718,-1.23058365422098,2.64109460790674,-6.55356633749568,-14.4612172952837,-0.640064742739698,"w      ","",""
2017-02-04,0.463451578141739,-1.57608537632712,2.53374899870529,-10.8588285924415,-20.3801945381041,-2.47573058153242,"w      ","",""
2017-02-05,0.682402389121642,-1.4294165897664,3.02621254976739,-9.89530952971973,-19.0758205065809,-3.25491448150595,"w      ","",""
2017-02-06,1.28905345267427,-0.478618754068078,3.18258515985045,-6.79746982079775,-14.4215662428082,-1.53869793920653,"w      ","",""
2017-02-07,0.269736919207666,-1.66037855972304,2.57583781003702,-14.0342739306195,-27.2191520353886,-2.58859706534985,"w      ","",""
2017-02-08,0.207028359458848,-1.69625839244196,2.2213869092994,-8.12738598733779,-17.2953099870358,-0.708441506035525,"w      ","",""
2017-02-09,1.59648762925295,-0.2213081043368,3.65890286664199,-3.81972792823889,-8.27211327826982,0.0855360061002435,"w      ","",""
2017-02-10,1.55521524047591,-0.578432218770435,3.57817894948687,-3.64508575657927,-7.02166763174958,0.306162366106285,"w      ","",""
2017-02-11,3.86398338091669,1.79509813592514,6.05428534297283,-4.82623080019616,-8.12013503606903,-1.39317082317562,"w      ","",""
2017-02-12,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-02-28,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-03-01,2.01221463431467,-0.0412982709235229,4.57987561494012,-9.75367819136693,-16.9247772757481,-3.65936120815605,"w      ","",""
2017-03-02,0.828776363281382,-1.21496286672924,3.0093849312593,-6.70483462595756,-13.973650883101,-0.641509140069802,"w      ","",""
2017-03-03,0.986515348217506,-1.14877038824036,3.09362973902285,-5.15989446491214,-10.4426341598057,-0.490030231121853,"w      ","",""
2017-03-04,-0.353302705146887,-2.27265868796091,2.23672872761078,-5.13394199158932,-11.0272088692832,-0.641111357644956,"w      ","",""
2017-03-05,0.782873558527741,-1.58322991272252,2.91959165259864,-3.77148324240429,-7.09525096754023,-0.214417659787176,"w      ","",""
2017-03-06,-1.33720140526772,-4.02044541443695,0.974321301604303,-1.64343706493445,-4.87892515649032,2.28148488213264,"w      ","",""
2017-03-07,1.9058784142248,-0.549555725199435,4.24060344533323,0.423246942112148,-3.36177336453937,4.15038385858053,"w      ","",""
2017-03-08,3.34390995443196,1.08446869871984,5.64616505877298,-3.74659797270784,-7.51690937230657,-0.0378279360806668,"w      ","",""
2017-03-09,4.86387749379071,2.4036459699346,6.97559464124053,-3.55402062561237,-7.3148347866288,0.3038980267965,"w      ","",""
2017-03-10,4.09693096445754,1.73401979720282,6.49507256313724,-3.71202564116232,-7.44136186015146,-0.136320512333911,"w      ","",""
2017-03-11,3.85013549258696,1.59803307446021,6.12803247260884,-3.08428721656111,-6.54056662581119,1.07635425662652,"w      ","",""
2017-03-12,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-03-31,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-04-01,4.71576832138327,2.27455229740269,7.19632837605799,-1.82391057159505,-5.55140247619792,2.29774463182336,"w      ","",""
2017-04-02,5.90471729698947,3.57116896646875,8.19307920663885,-2.12682264512176,-6.61936504393053,2.34209934075598,"w      ","",""
2017-04-03,7.83338922581235,5.60882810815055,9.97891778638217,-4.25833919897256,-8.95570873077283,1.24194361809555,"w      ","",""
2017-04-04,9.4939228727296,6.96534220088985,11.7238175785682,-5.57510086417324,-10.641664558162,-0.790421605102183,"w      ","",""
2017-04-05,0.51960282543205,-1.77004005173546,2.55112983536275,-4.94478807845686,-8.31816313884847,-1.60808099769421,"w      ","",""
2017-04-06,4.77812373721933,2.60777464158711,7.01180987150046,-2.20758277899307,-6.01150087637438,2.12127403315686,"w      ","",""
2017-04-07,8.56629119335844,6.25090416050891,11.159901335779,-4.88051305782912,-9.31195792147077,0.112482279123593,"w      ","",""
2017-04-08,6.57896755483266,4.13944860148435,9.03869847615827,-2.74902264274872,-8.10842882164366,2.3226596803129,"w      ","",""
2017-04-09,8.40769574493165,5.90560507741441,10.6836998862937,-2.64008500507833,-7.51774319079294,1.88989839759021,"w      ","",""
2017-04-10,7.23798132653564,4.89136042803001,9.59879596071728,-5.45372880807899,-10.1805514646287,-0.934005895632727,"w      ","",""
2017-04-11,8.12064401341119,5.3871619826374,10.6473154694675,-4.22925158819528,-8.28243210385142,0.507574136224539,"w      ","",""
2017-04-12,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-04-30,NA,NA,NA,NA,NA,NA,"w     E","",""
2017-05-01,3.37070962316488,0.696467813072261,6.20073202645665,-9.81748124288476,-15.9170702586032,-3.25545273637847,"w      ","",""
2017-05-02,4.42902897281286,1.54824974153338,7.0363487310582,-9.43002719049263,-14.7905017697918,-4.11897225391698,"w      ","",""
2017-05-03,6.5242512959488,4.2286094025846,8.99226477316726,-5.88142854399787,-9.30977933452003,-2.34936011278387,"w      ","",""
